Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,,,,,,
D8,FALSE,media_2_T44,Target 1,Unknown,SYBR,37.117737,0.9568995030488630,,Amp,FALSE,0,0,,,,,,
D9,FALSE,media_3_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
D10,FALSE,media+P_1_T44,Target 1,Unknown,SYBR,31.429949,0.9844441236483010,,Amp,FALSE,0,0,,,,,,
D11,FALSE,media+P_2_T44,Target 1,Unknown,SYBR,31.004395,0.9907714229017690,,Amp,FALSE,0,0,,,,,,
D12,FALSE,media+P_3_T44,Target 1,Unknown,SYBR,31.799631,0.9485607556528670,,Amp,FALSE,0,0,,,,,,
D13,FALSE,Bv_sup_1_T0,Target 1,Unknown,SYBR,35.62593,0.9726106901271300,,Amp,FALSE,0,0,,,,,,
D14,FALSE,Bv_sup_2_T0,Target 1,Unknown,SYBR,37.73696,0.9199282449294860,,Inconclusive,FALSE,0,0,,,,,,
D15,FALSE,Bv_sup_3_T0,Target 1,Unknown,SYBR,35.92371,0.9146183647420100,,Amp,FALSE,0,0,,,,,,
D16,FALSE,Bv+P_sup_1_T0,Target 1,Unknown,SYBR,32.142273,0.9803239454246320,,Amp,FALSE,0,0,,,,,,
D17,FALSE,Bv+P_sup_2_T0,Target 1,Unknown,SYBR,31.044062,0.9878732154375670,,Amp,FALSE,0,0,,,,,,
D18,FALSE,Bv+P_sup_3_T0,Target 1,Unknown,SYBR,31.696302,0.9754167589336700,,Amp,FALSE,0,0,,,,,,
D19,FALSE,Bd_sup_1_T0,Target 1,Unknown,SYBR,38.027122,0.9169167332464800,,Inconclusive,FALSE,0,0,,,,,,
D20,FALSE,Bd_sup_2_T0,Target 1,Unknown,SYBR,37.71596,0.92804581869975,,Amp,FALSE,0,0,,,,,,
D21,FALSE,Bd_sup_3_T0,Target 1,Unknown,SYBR,37.189808,0.9488575475385610,,Inconclusive,FALSE,0,0,,,,,,
D22,FALSE,Bd+P_sup_1_T0,Target 1,Unknown,SYBR,31.805677,0.9830392891581720,,Amp,FALSE,0,0,,,,,,
D23,FALSE,Bd+P_sup_2_T0,Target 1,Unknown,SYBR,31.762047,0.9838417881729720,,Amp,FALSE,0,0,,,,,,
D24,FALSE,Bd+P_sup_3_T0,Target 1,Unknown,SYBR,31.217304,0.982546032009584,,Amp,FALSE,0,0,,,,,,
E1,FALSE,media+P_DNase_1_T44,Target 1,Unknown,SYBR,34.84132,0.8256607461655710,,Amp,FALSE,0,0,,,,,,
E2,FALSE,media+P_DNase_2_T44,Target 1,Unknown,SYBR,27.878,0.7726752626458420,,Amp,FALSE,0,0,,,,,,
E3,FALSE,media+P_DNase_3_T44,Target 1,Unknown,SYBR,35.242462,0.976827138675616,,Amp,FALSE,0,0,,,,,,
E4,FALSE,Bv_sup_v_pel_1_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E5,FALSE,Bv_sup_v_pel_2_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E6,FALSE,Bv_sup_v_pel_3_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E7,FALSE,Bv+P_sup_v_pel_1_T44,Target 1,Unknown,SYBR,23.338436,0.01127439779037680,,Amp,FALSE,0,0,,,,,,
E8,FALSE,Bv+P_sup_v_pel_2_T44,Target 1,Unknown,SYBR,25.232391,0.3269446271260310,,Amp,FALSE,0,0,,,,,,
