Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,,,,,,
F3,FALSE,media+P_DNase_3_T0,media+P_DNase_3_T0,Unknown,SYBR,34.172253,0.9572720256144330,,Amp,FALSE,0,0,,,,,,
F4,FALSE,Bv_sup_v_pel_1_T0,Bv_sup_v_pel_1_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F5,FALSE,Bv_sup_v_pel_2_T0,Bv_sup_v_pel_2_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F6,FALSE,Bv_sup_v_pel_3_T0,Bv_sup_v_pel_3_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F7,FALSE,Bv+P_sup_v_pel_1_T0,Bv+P_sup_v_pel_1_T0,Unknown,SYBR,28.331732,0.9866635398311640,,Amp,FALSE,0,0,,,,,,
F8,FALSE,Bv+P_sup_v_pel_2_T0,Bv+P_sup_v_pel_2_T0,Unknown,SYBR,28.68295,0.9890619413749270,,Amp,FALSE,0,0,,,,,,
F9,FALSE,Bv+P_sup_v_pel_3_T0,Bv+P_sup_v_pel_3_T0,Unknown,SYBR,28.077042,0.9887487865251340,,Amp,FALSE,0,0,,,,,,
F10,FALSE,Bd_sup_v_pel_1_T0,Bd_sup_v_pel_1_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F11,FALSE,Bd_sup_v_pel_2_T0,Bd_sup_v_pel_2_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F12,FALSE,Bd_sup_v_pel_3_T0,Bd_sup_v_pel_3_T0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F13,FALSE,media+P_DNase_1_T12,media+P_DNase_1_T12,Unknown,SYBR,33.314335,0.9707132449406010,,Amp,FALSE,0,0,,,,,,
F14,FALSE,media+P_DNase_2_T12,media+P_DNase_2_T12,Unknown,SYBR,32.3122,0.9811080902558100,,Amp,FALSE,0,0,,,,,,
F15,FALSE,media+P_DNase_3_T12,media+P_DNase_3_T12,Unknown,SYBR,34.427284,0.9737189011694800,,Amp,FALSE,0,0,,,,,,
F16,FALSE,Bv_sup_v_pel_1_T12,Bv_sup_v_pel_1_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F17,FALSE,Bv_sup_v_pel_2_T12,Bv_sup_v_pel_2_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F18,FALSE,Bv_sup_v_pel_3_T12,Bv_sup_v_pel_3_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F19,FALSE,Bv+P_sup_v_pel_1_T12,Bv+P_sup_v_pel_1_T12,Unknown,SYBR,24.70322,0.4403903919752160,,Amp,FALSE,0,0,,,,,,
F20,FALSE,Bv+P_sup_v_pel_2_T12,Bv+P_sup_v_pel_2_T12,Unknown,SYBR,23.23284,0.11594850472580300,,Amp,FALSE,0,0,,,,,,
F21,FALSE,Bv+P_sup_v_pel_3_T12,Bv+P_sup_v_pel_3_T12,Unknown,SYBR,20.135891,0,,Amp,FALSE,0,0,,,,,,
F22,FALSE,Bd_sup_v_pel_1_T12,Bd_sup_v_pel_1_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F23,FALSE,Bd_sup_v_pel_2_T12,Bd_sup_v_pel_2_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F24,FALSE,Bd_sup_v_pel_3_T12,Bd_sup_v_pel_3_T12,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
G1,FALSE,Bd+P_sup_v_pel_1_T0,Bd+P_sup_v_pel_1_T0,Unknown,SYBR,27.409206,0.9924553191673310,,Amp,FALSE,0,0,,,,,,
G2,FALSE,Bd+P_sup_v_pel_2_T0,Bd+P_sup_v_pel_2_T0,Unknown,SYBR,27.51576,0.9917010568965840,,Amp,FALSE,0,0,,,,,,
G3,FALSE,Bd+P_sup_v_pel_3_T0,Bd+P_sup_v_pel_3_T0,Unknown,SYBR,27.87166,0.9888387122264120,,Amp,FALSE,0,0,,,,,,
G4,FALSE,std_-2,std_-2,Unknown,SYBR,9.422073,0.9544373729236020,,Amp,FALSE,0,0,,,,,,
G5,FALSE,std_-3,std_-3,Unknown,SYBR,12.508248,0.9560679143702940,,Amp,FALSE,0,0,,,,,,
G6,FALSE,std_-4,std_-4,Unknown,SYBR,16.475163,0.9715725765547130,,Amp,FALSE,0,0,,,,,,
G7,FALSE,std_-5,std_-5,Unknown,SYBR,20.976679,0.9896916148700450,,Amp,FALSE,0,0,,,,,,
G8,FALSE,std_-6,std_-6,Unknown,SYBR,23.955915,0.9860408015712880,,Amp,FALSE,0,0,,,,,,
G9,FALSE,std_-7,std_-7,Unknown,SYBR,28.047882,0.9917356475849120,,Amp,FALSE,0,0,,,,,,
G10,FALSE,std_-8,std_-8,Unknown,SYBR,31.34456,0.9912247652501860,,Amp,FALSE,0,0,,,,,,
G11,FALSE,std_-9,std_-9,Unknown,SYBR,32.88905,0.986811328404001,,Amp,FALSE,0,0,,,,,,
G12,FALSE,std_-10,std_-10,Unknown,SYBR,32.26932,0.9879944879390050,,Amp,FALSE,0,0,,,,,,
G13,FALSE,Bd+P_sup_v_pel_1_T12,Bd+P_sup_v_pel_1_T12,Unknown,SYBR,26.421337,0.7413079667112640,,Amp,FALSE,0,0,,,,,,
G14,FALSE,Bd+P_sup_v_pel_2_T12,Bd+P_sup_v_pel_2_T12,Unknown,SYBR,21.313423,0,,Amp,FALSE,0,0,,,,,,
G15,FALSE,Bd+P_sup_v_pel_3_T12,Bd+P_sup_v_pel_3_T12,Unknown,SYBR,21.283352,0,,Amp,FALSE,0,0,,,,,,
G16,FALSE,0,0,Unknown,SYBR,31.512287,0.9814733845084510,,Amp,FALSE,0,0,,,,,,
G17,FALSE,std_-11,std_-11,Unknown,SYBR,34.17096,0.9814830830416330,,Amp,FALSE,0,0,,,,,,
G18,FALSE,std_-12,std_-12,Unknown,SYBR,31.528954,0.9876908607440720,,Amp,FALSE,0,0,,,,,,
G19,FALSE,water,water,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
G20,FALSE,0,0,Unknown,SYBR,33.52337,0.0028217605064234800,,No Amp,FALSE,0,0,,,,,,
G21,FALSE,0,0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
G22,FALSE,0,0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
G23,FALSE,0,0,Unknown,SYBR,11.308185,0,,No Amp,FALSE,0,0,,,,,,
G24,FALSE,0,0,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
H1,FALSE,Bd+P_sup_v_pel_1_T0,Bd+P_sup_v_pel_1_T0,Unknown,SYBR,27.639696,0.9925540084576380,,Amp,FALSE,0,0,,,,,,
H2,FALSE,Bd+P_sup_v_pel_2_T0,Bd+P_sup_v_pel_2_T0,Unknown,SYBR,27.775675,0.9884695305320290,,Amp,FALSE,0,0,,,,,,
H3,FALSE,Bd+P_sup_v_pel_3_T0,Bd+P_sup_v_pel_3_T0,Unknown,SYBR,27.433647,0.9905349860816920,,Amp,FALSE,0,0,,,,,,
